Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,JobLevel,JobRole,MonthlyIncome,NumCompaniesWorked,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsSinceLastPromotion,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement
No,Non-Travel,Sales,25,4,Other,1,Healthcare Representative,53800,7.0,1,4.0,0,2,4.0,3.0,4.0,3
No,Travel_Rarely,Sales,28,3,Medical,5,Laboratory Technician,51510,1.0,3,8.0,3,7,3.0,3.0,3.0,3
No,Travel_Rarely,Sales,2,2,Medical,1,Laboratory Technician,21330,3.0,2,14.0,2,0,1.0,4.0,3.0,3
Yes,Travel_Frequently,Research & Development,9,3,Medical,4,Manufacturing Director,178750,1.0,0,3.0,5,1,1.0,2.0,3.0,2
No,Non-Travel,Human Resources,28,3,Human Resources,2,Laboratory Technician,24320,4.0,0,7.0,4,0,4.0,4.0,3.0,1
No,Travel_Frequently,Research & Development,6,3,Life Sciences,2,Research Scientist,47710,4.0,1,16.0,2,1,1.0,4.0,3.0,3
No,Travel_Rarely,Research & Development,21,4,Life Sciences,5,Research Scientist,191610,2.0,0,15.0,2,1,4.0,3.0,3.0,1
No,Travel_Rarely,Research & Development,8,3,Other,2,Sales Executive,50870,3.0,1,10.0,3,1,4.0,3.0,3.0,3
No,Non-Travel,Research & Development,1,5,Life Sciences,2,Manager,28630,1.0,0,3.0,2,2,1.0,4.0,2.0,1
Yes,Travel_Rarely,Human Resources,28,2,Human Resources,5,Manager,55610,1.0,1,1.0,3,0,4.0,3.0,3.0,1
No,Travel_Rarely,Research & Development,5,3,Life Sciences,4,Research Scientist,21440,6.0,0,17.0,3,0,3.0,1.0,3.0,4
No,Non-Travel,Sales,2,4,Marketing,2,Laboratory Technician,30650,2.0,0,7.0,3,0,3.0,3.0,4.0,3
Yes,Travel_Frequently,Research & Development,16,1,Medical,1,Research Scientist,28100,1.0,0,8.0,3,7,1.0,2.0,3.0,4
No,Travel_Rarely,Research & Development,9,3,Medical,3,Laboratory Technician,98880,6.0,0,20.0,2,1,4.0,4.0,3.0,3
Yes,Travel_Rarely,Research & Development,8,3,Medical,1,Healthcare Representative,86280,2.0,0,8.0,2,1,3.0,3.0,3.0,2
No,Travel_Rarely,Research & Development,1,3,Life Sciences,4,Human Resources,28670,0.0,0,3.0,5,2,,2.0,3.0,3
Yes,Travel_Rarely,Human Resources,10,2,Human Resources,1,Laboratory Technician,53730,1.0,1,1.0,2,0,3.0,2.0,3.0,3
No,Travel_Rarely,Research & Development,1,3,Life Sciences,2,Research Director,66670,9.0,1,6.0,6,1,4.0,4.0,3.0,4
No,Travel_Rarely,Research & Development,29,3,Life Sciences,3,Sales Executive,50030,9.0,0,10.0,2,0,3.0,2.0,3.0,3
No,Travel_Rarely,Sales,2,3,Life Sciences,1,Sales Executive,23670,,1,5.0,2,0,4.0,2.0,3.0,3
No,Travel_Rarely,Research & Development,2,2,Medical,3,Manager,28580,1.0,0,7.0,2,0,2.0,4.0,3.0,2
No,Travel_Rarely,Sales,2,3,Technical Degree,2,Manufacturing Director,52040,8.0,1,26.0,3,0,2.0,3.0,3.0,3
No,Travel_Rarely,Research & Development,1,2,Life Sciences,1,Sales Executive,41050,4.0,1,18.0,2,0,3.0,4.0,2.0,3
No,Travel_Rarely,Sales,15,2,Life Sciences,1,Sales Executive,96790,4.0,0,6.0,1,2,4.0,3.0,3.0,3
Yes,Non-Travel,Research & Development,7,3,Life Sciences,1,Sales Representative,56170,8.0,1,9.0,3,0,1.0,4.0,2.0,3
No,Travel_Rarely,Sales,26,3,Marketing,1,Laboratory Technician,104480,2.0,0,30.0,3,1,3.0,4.0,3.0,3
No,Travel_Rarely,Research & Development,1,3,Life Sciences,5,Manager,28970,1.0,3,5.0,4,0,4.0,3.0,4.0,3
No,Travel_Rarely,Research & Development,3,3,Life Sciences,2,Manager,59680,1.0,0,1.0,3,0,3.0,2.0,3.0,3
Yes,Travel_Frequently,Sales,14,3,Life Sciences,2,Manager,75100,0.0,3,7.0,3,0,3.0,,3.0,3
No,Travel_Rarely,Research & Development,16,5,Other,1,Research Scientist,29910,1.0,2,2.0,3,1,1.0,2.0,3.0,2
No,Travel_Rarely,Research & Development,1,3,Medical,5,Healthcare Representative,196360,1.0,1,10.0,3,9,2.0,3.0,3.0,3
Yes,Travel_Frequently,Sales,3,2,Marketing,3,Research Scientist,11290,9.0,0,3.0,2,0,3.0,4.0,3.0,2
No,Travel_Rarely,Research & Development,10,1,Technical Degree,1,Sales Executive,133410,1.0,1,18.0,3,12,4.0,1.0,2.0,3
No,Travel_Rarely,Research & Development,6,2,Medical,3,Research Scientist,43320,7.0,2,8.0,3,1,4.0,2.0,3.0,2
No,Travel_Rarely,Research & Development,2,3,Medical,4,Manager,110310,3.0,1,8.0,2,1,2.0,1.0,3.0,2
No,Travel_Rarely,Sales,9,1,Marketing,3,Sales Executive,44400,2.0,1,18.0,3,0,3.0,2.0,2.0,2
No,Travel_Rarely,Sales,10,2,Life Sciences,1,Sales Executive,46170,1.0,0,25.0,2,3,1.0,2.0,3.0,3
No,Travel_Rarely,Sales,6,2,Life Sciences,1,Laboratory Technician,26470,6.0,0,20.0,2,0,2.0,3.0,3.0,2
No,Travel_Rarely,Human Resources,9,3,Life Sciences,2,Manufacturing Director,63230,4.0,1,24.0,2,1,1.0,1.0,2.0,2
No,Non-Travel,Research & Development,28,3,Medical,1,Laboratory Technician,56770,9.0,1,6.0,3,1,3.0,3.0,3.0,3
No,Travel_Rarely,Research & Development,10,4,Life Sciences,3,Sales Executive,21870,1.0,1,13.0,2,3,2.0,1.0,1.0,2
No,Travel_Frequently,Sales,14,3,Life Sciences,1,Manufacturing Director,37480,7.0,2,,3,1,4.0,4.0,3.0,2
No,Travel_Rarely,Sales,27,4,Life Sciences,2,Sales Representative,39770,4.0,1,8.0,3,0,3.0,3.0,3.0,3
No,Travel_Rarely,Human Resources,7,2,Human Resources,1,Manufacturing Director,86330,1.0,1,5.0,2,1,2.0,4.0,3.0,4
No,Non-Travel,Research & Development,1,3,Medical,3,Laboratory Technician,20080,3.0,0,15.0,5,10,2.0,3.0,3.0,2
No,Travel_Rarely,Research & Development,24,1,Medical,3,Laboratory Technician,44400,1.0,1,4.0,2,3,4.0,1.0,3.0,3
No,Travel_Frequently,Research & Development,26,4,Technical Degree,1,Sales Executive,30670,1.0,1,21.0,5,1,2.0,3.0,3.0,1
No,Travel_Frequently,Research & Development,20,4,Life Sciences,3,Sales Executive,53210,9.0,0,36.0,1,7,3.0,1.0,2.0,3
No,Travel_Rarely,Sales,5,4,Medical,2,Manufacturing Director,54100,0.0,1,6.0,2,4,2.0,3.0,3.0,3
No,Travel_Rarely,Research & Development,7,3,Technical Degree,3,Research Scientist,27820,1.0,0,10.0,2,0,2.0,1.0,3.0,2
No,Travel_Rarely,Research & Development,7,3,Medical,3,Healthcare Representative,119570,1.0,0,10.0,2,1,3.0,1.0,3.0,2
Yes,Travel_Rarely,Research & Development,5,2,Life Sciences,3,Laboratory Technician,26600,5.0,0,6.0,3,0,1.0,1.0,3.0,3
No,Travel_Rarely,Research & Development,26,2,Life Sciences,2,Sales Representative,33750,2.0,0,28.0,2,0,4.0,3.0,3.0,2
No,Travel_Rarely,Research & Development,2,3,Medical,1,Sales Executive,50980,3.0,1,8.0,4,0,1.0,4.0,2.0,3
No,Travel_Rarely,Research & Development,12,3,Medical,2,Research Scientist,48780,2.0,1,31.0,3,1,4.0,4.0,1.0,3
No,Travel_Frequently,Sales,10,3,Marketing,2,Healthcare Representative,28370,2.0,1,19.0,0,0,1.0,3.0,3.0,2
No,Travel_Rarely,Sales,25,3,Marketing,1,Sales Executive,24060,2.0,1,11.0,5,0,3.0,4.0,3.0,3
No,Travel_Rarely,Research & Development,10,3,Life Sciences,1,Manufacturing Director,22690,5.0,1,33.0,4,11,1.0,1.0,1.0,3
No,Travel_Rarely,Sales,19,4,Marketing,1,Sales Executive,41080,2.0,0,19.0,5,0,3.0,3.0,2.0,2
No,Travel_Frequently,Research & Development,18,4,Technical Degree,4,Sales Executive,132060,0.0,2,7.0,2,0,4.0,4.0,4.0,3
Yes,Travel_Rarely,Research & Development,27,2,Medical,1,Research Scientist,104220,1.0,1,6.0,0,1,1.0,2.0,3.0,2
Yes,Travel_Frequently,Research & Development,5,3,Medical,2,Research Scientist,137440,0.0,1,3.0,3,1,4.0,3.0,2.0,3
No,Travel_Frequently,Sales,3,3,Marketing,2,Sales Executive,49070,1.0,1,1.0,3,0,4.0,4.0,3.0,3
No,Travel_Rarely,Sales,26,4,Marketing,1,Sales Executive,34820,0.0,1,21.0,2,1,3.0,3.0,3.0,2
No,Travel_Rarely,Research & Development,3,2,Medical,4,Healthcare Representative,24360,1.0,0,3.0,2,0,1.0,4.0,1.0,4
No,Non-Travel,Research & Development,15,3,Medical,2,Sales Executive,23800,4.0,3,9.0,2,1,3.0,4.0,1.0,2
No,Travel_Rarely,Research & Development,8,3,Medical,3,Manufacturing Director,194310,1.0,0,10.0,3,0,2.0,3.0,3.0,3
Yes,Travel_Rarely,Research & Development,19,4,Life Sciences,3,Research Scientist,17900,5.0,1,6.0,4,1,3.0,2.0,4.0,2
Yes,Travel_Rarely,Research & Development,4,3,Medical,1,Sales Executive,76440,1.0,2,1.0,2,0,1.0,4.0,4.0,3
No,Non-Travel,Research & Development,2,4,Life Sciences,3,Research Scientist,51310,0.0,1,10.0,2,7,3.0,1.0,3.0,3
No,Travel_Rarely,Research & Development,2,2,Life Sciences,4,Research Scientist,63060,3.0,1,32.0,3,0,1.0,4.0,2.0,3
No,Travel_Rarely,Sales,10,4,Life Sciences,3,Manager,47870,0.0,0,28.0,3,15,2.0,3.0,3.0,3
No,Non-Travel,Sales,10,2,Life Sciences,3,Laboratory Technician,188800,0.0,1,12.0,3,6,3.0,4.0,2.0,3
No,Travel_Frequently,Research & Development,16,3,Life Sciences,4,Laboratory Technician,23390,4.0,0,22.0,4,13,3.0,1.0,4.0,3
No,Travel_Rarely,Research & Development,1,3,Technical Degree,5,Manufacturing Director,135700,5.0,2,20.0,2,0,1.0,4.0,3.0,2
No,Travel_Rarely,Sales,4,1,Technical Degree,1,Laboratory Technician,67120,6.0,1,26.0,3,0,1.0,3.0,1.0,2
No,Travel_Rarely,Research & Development,15,2,Medical,2,Laboratory Technician,54060,0.0,1,6.0,2,4,4.0,3.0,3.0,3
No,Travel_Rarely,Research & Development,2,4,Medical,2,Human Resources,89380,7.0,3,19.0,2,0,3.0,3.0,3.0,3
No,Travel_Rarely,Sales,8,2,Life Sciences,1,Laboratory Technician,24390,3.0,2,14.0,2,5,4.0,3.0,3.0,4
No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,Healthcare Representative,88370,2.0,0,15.0,3,1,3.0,4.0,3.0,2
No,Travel_Rarely,Research & Development,7,3,Life Sciences,2,Research Director,53430,1.0,1,13.0,3,0,3.0,2.0,4.0,3
Yes,Travel_Rarely,Research & Development,10,3,Life Sciences,4,Research Director,67280,7.0,0,15.0,2,7,2.0,3.0,4.0,2
Yes,Travel_Rarely,Sales,5,4,Marketing,2,Research Director,66520,7.0,0,8.0,5,1,1.0,4.0,3.0,3
No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,Sales Executive,48500,0.0,1,4.0,4,1,4.0,2.0,3.0,3
No,Travel_Rarely,Research & Development,12,2,Medical,2,Sales Representative,28090,4.0,1,10.0,2,0,4.0,3.0,3.0,1
Yes,Travel_Frequently,Research & Development,22,2,Medical,2,Sales Executive,56890,3.0,2,12.0,2,0,1.0,3.0,3.0,2
Yes,Travel_Frequently,Sales,17,1,Marketing,1,Research Director,20010,9.0,1,11.0,5,0,2.0,1.0,3.0,4
No,Travel_Frequently,Research & Development,2,4,Medical,1,Research Scientist,29770,4.0,3,8.0,3,2,2.0,3.0,3.0,2
No,Non-Travel,Research & Development,3,4,Medical,1,Research Scientist,40250,1.0,0,10.0,3,9,2.0,4.0,2.0,3
Yes,Travel_Frequently,Research & Development,7,3,Medical,2,Laboratory Technician,37850,5.0,2,4.0,2,1,3.0,3.0,3.0,3
No,Travel_Rarely,Research & Development,6,3,Medical,1,Laboratory Technician,108540,2.0,1,14.0,6,6,2.0,4.0,3.0,3
No,Travel_Rarely,Research & Development,1,3,Medical,1,Sales Executive,120310,3.0,0,37.0,5,7,1.0,2.0,3.0,3
No,Non-Travel,Research & Development,3,2,Life Sciences,2,Research Scientist,99360,7.0,1,16.0,2,1,4.0,4.0,3.0,2
No,Travel_Rarely,Research & Development,22,3,Medical,1,Sales Representative,29660,9.0,0,15.0,2,6,2.0,3.0,3.0,2
No,Travel_Rarely,Research & Development,15,3,Life Sciences,2,Laboratory Technician,25710,7.0,0,22.0,1,5,2.0,3.0,3.0,3
No,Travel_Frequently,Research & Development,12,1,Medical,1,Research Scientist,99910,1.0,1,8.0,3,0,3.0,3.0,3.0,3
No,Travel_Rarely,Research & Development,1,4,Life Sciences,3,Research Director,61420,4.0,2,10.0,2,0,2.0,4.0,4.0,2
No,Travel_Rarely,Research & Development,5,3,Medical,3,Sales Executive,53900,1.0,0,10.0,3,5,4.0,1.0,2.0,3
No,Travel_Rarely,Research & Development,2,1,Medical,4,Sales Executive,44040,0.0,0,9.0,2,3,4.0,2.0,4.0,3
Yes,Travel_Frequently,Research & Development,2,1,Life Sciences,2,Laboratory Technician,59930,0.0,0,8.0,3,1,,3.0,2.0,3
No,Travel_Rarely,Research & Development,5,3,Medical,1,Research Scientist,51300,4.0,0,8.0,3,1,4.0,4.0,4.0,2
No,Travel_Rarely,Research & Development,16,3,Medical,1,Laboratory Technician,20900,4.0,0,10.0,2,0,1.0,3.0,3.0,3
No,Travel_Rarely,Research & Development,2,4,Life Sciences,1,Sales Executive,29090,9.0,2,10.0,2,0,3.0,4.0,2.0,3
Yes,Travel_Frequently,Research & Development,2,3,Technical Degree,1,Sales Executive,34680,1.0,2,0.0,4,0,2.0,2.0,3.0,4
No,Non-Travel,Research & Development,1,4,Technical Degree,2,Laboratory Technician,30680,3.0,0,20.0,3,0,3.0,1.0,3.0,2
No,Non-Travel,Research & Development,23,3,Life Sciences,2,Manufacturing Director,26700,2.0,2,10.0,2,0,1.0,3.0,3.0,2
No,Travel_Rarely,Research & Development,9,4,Medical,3,Healthcare Representative,26930,5.0,3,8.0,3,0,1.0,3.0,3.0,2
No,Travel_Rarely,Research & Development,16,4,Medical,2,Human Resources,95260,1.0,0,5.0,2,0,1.0,3.0,3.0,2
No,Travel_Rarely,Research & Development,26,3,Medical,1,Laboratory Technician,52370,1.0,1,10.0,3,5,4.0,4.0,3.0,2
Yes,Travel_Rarely,Sales,1,3,Marketing,2,Manufacturing Director,24260,1.0,0,1.0,3,0,3.0,4.0,1.0,1
